RIVAL,PLAY #,HF,ODK,SERIES,DN,DIST,YARD LN,OFF FORM,OFF STR,MOTION,MOTION DIR,OFF PLAY,PLAY TYPE,RESULT,PI,PC,GN/LS,PLAY DIR,PASS ZONE,COVERAGE,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,TACKLER1_Jersey,TACKLER1_Name,BLZ_Jersey,BLZ_Name,RUSHER_Jersey,RUSHER_Name
NZL,34,1,O,4,1,5,-5,SLOT,L,,,,Pass,Complete,1,1,5,L,1,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
NZL,35,1,O,4,2,10,-10,SLOT,L,,,,Pass,1st DN,1,1,16,L,2,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
NZL,36,1,O,4,1,24,24,ARROW,L,,,,Run,Rush,,,3,R,,,,,,,,,,,,,,,9,Olga Sotillo Val
NZL,37,1,O,4,2,21,21,DOBLE TIGHT,R,,,,Pass,Complete,1,1,8,R,3,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
NZL,38,1,O,4,3,13,13,ARROW,L,,,,Pass,Incomplete,1,0,0,R,3,,10,Monica Rafecas,,,,,,,,,,,,
NZL,39,1,O,4,4,13,13,SLOT,R,,,,Pass,"Complete, TD",1,1,13,L,4,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
NZL,40,1,K,4,0,5,5,ARROW,L,,,,Extra Pt.,Good,1,1,,L,2,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
NZL,41,1,D,5,1,20,-5,BUNCH,L,,,,Pass,Batted Down,1,0,0,R,3,KANSAS,,,,,,,6,Laia Girona,,,7,Elvira Núñez Calzado,,
NZL,42,1,D,5,2,20,-5,SPREAD BUNCH,L,,,,Pass,Complete,1,1,4,R,3,JAULA,,,,,,,,,6,Laia Girona,1,María Vidal,,
NZL,43,1,D,5,3,16,-9,SLOT,L,,,,Pass,1st DN,1,1,27,R,9,JAULA,,,,,,,,,,,1,María Vidal,,
NZL,44,1,D,5,1,14,14,SPREAD BUNCH,L,,,DOBLE QB,Pass,Complete,1,1,5,L,1,JAULA,,,,,,,,,7,Elvira Núñez Calzado,7,Elvira Núñez Calzado,,
NZL,45,1,D,5,2,9,9,BUNCH,L,,,,Pass,Batted Down,1,0,0,R,6,REGULAR,,,,,,,6,Laia Girona,,,7,Elvira Núñez Calzado,,
NZL,46,1,D,5,3,9,9,BUNCH,R,,,,Pass,Batted Down,1,0,0,R,6,REGULAR,,,,,,,6,Laia Girona,,,1,María Vidal,,
NZL,47,2,O,5,1,20,-5,SLOT,R,,,,Pass,Complete,1,1,6,R,3,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
NZL,48,2,O,5,2,14,-11,ISO,L,,,,Pass,Incomplete,1,0,0,L,7,,10,Monica Rafecas,,,,,,,,,,,,
NZL,49,2,O,5,3,14,-11,SLOT,L,,,,Pass,Complete,1,1,4,R,3,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
NZL,50,2,O,5,4,10,-15,DOBLE TIGHT,L,,,,Pass,Dropped,1,0,0,L,4,,10,Monica Rafecas,7,Elvira Núñez Calzado,,,,,,,,,,
NZL,51,2,D,6,1,20,-5,TIGHT,L,,,,Pass,Batted Down,1,0,0,R,3,REGULAR,,,,,,,13,Cris Gómez,,,1,María Vidal,,
NZL,52,2,D,6,2,20,-5,TIGHT,L,,,,Run,Rush,,,6,R,,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
