Frame,Estado
1236,Desconocida
1237,Desconocida
1238,Desconocida
1239,Desconocida
1240,Desconocida
1241,Desconocida
1242,Desconocida
1243,Desconocida
1244,Desconocida
1245,Desconocida
1246,Desconocida
1247,Desconocida
1248,Desconocida
1249,Desconocida
1250,Desconocida
1251,Desconocida
1252,Desconocida
1253,Desconocida
1254,Desconocida
1255,Desconocida
1256,Desconocida
1257,Desconocida
1258,Desconocida
1259,Desconocida
1260,Desconocida
1261,Desconocida
1262,Desconocida
1263,Desconocida
1264,Desconocida
1265,Desconocida
1266,Desconocida
1267,Desconocida
1268,Desconocida
1269,Desconocida
1270,Desconocida
1271,Desconocida
1272,Desconocida
1273,Desconocida
1274,Desconocida
1275,Desconocida
1276,Desconocida
1277,Desconocida
1278,Desconocida
1279,Desconocida
1280,Desconocida
1281,Desconocida
1282,Desconocida
1283,Desconocida
1284,Desconocida
1285,Desconocida
1286,Desconocida
1287,Desconocida
1288,Desconocida
1289,Desconocida
1290,Desconocida
1291,Desconocida
1292,Desconocida
1293,Desconocida
1294,Desconocida
1295,Desconocida
1296,Desconocida
1297,Desconocida
1298,Desconocida
1299,Desconocida
1300,Desconocida
1301,Desconocida
1302,Desconocida
1303,Desconocida
1304,Desconocida
1305,Desconocida
1306,Desconocida
1307,Desconocida
1308,Desconocida
1309,Desconocida
1310,Desconocida
1311,Desconocida
1312,Desconocida
1313,Desconocida
1314,Desconocida
1315,Desconocida
1316,Desconocida
1317,Desconocida
1318,Desconocida
1319,Desconocida
1320,Desconocida
1321,Desconocida
1322,Desconocida
1323,Desconocida
1324,Desconocida
1325,Desconocida
1326,Desconocida
1327,Desconocida
1328,Desconocida
1329,Desconocida
1330,Desconocida
1331,Desconocida
1332,Desconocida
1333,Desconocida
1334,Desconocida
1335,Desconocida
1336,Desconocida
1337,Desconocida
1338,Desconocida
1339,Desconocida
1340,Desconocida
1341,Desconocida
1342,Desconocida
1343,Desconocida
1344,Desconocida
1345,Desconocida
1346,Desconocida
1347,Desconocida
1348,Desconocida
1349,Desconocida
1350,Desconocida
1351,Desconocida
1352,Desconocida
1353,Desconocida
1354,Desconocida
1355,Desconocida
1356,Desconocida
1357,Desconocida
1358,Desconocida
1359,Desconocida
1360,Desconocida
1361,Desconocida
1362,Desconocida
1363,Desconocida
1364,Desconocida
1365,Desconocida
1366,Desconocida
1367,Desconocida
1368,Desconocida
1369,Desconocida
1370,Desconocida
1371,Desconocida
1372,Desconocida
1373,Desconocida
1374,Desconocida
1375,Desconocida
1376,Desconocida
1377,Desconocida
1378,Desconocida
1379,Desconocida
1380,Desconocida
1381,Desconocida
1382,Desconocida
1383,Desconocida
1384,Desconocida
1385,Desconocida
1386,Desconocida
1387,Desconocida
1388,Desconocida
1389,Desconocida
1390,Desconocida
1391,Desconocida
1392,Desconocida
1393,Desconocida
1394,Desconocida
1395,Desconocida
1396,Desconocida
1397,Desconocida
1398,Desconocida
1399,Desconocida
1400,Desconocida
1401,Desconocida
1402,Desconocida
1403,Desconocida
1404,Desconocida
1405,Desconocida
1406,Desconocida
1407,Desconocida
1408,Desconocida
1409,Desconocida
1410,Desconocida
1411,Desconocida
1412,Desconocida
1413,Desconocida
1414,Desconocida
1415,Desconocida
1416,Desconocida
1417,Desconocida
1418,Desconocida
1419,Desconocida
1420,Desconocida
1421,Desconocida
1422,Desconocida
1423,Desconocida
1424,Desconocida
1425,Desconocida
1426,Desconocida
1427,Desconocida
1428,Desconocida
1429,Desconocida
1430,Desconocida
1431,Desconocida
1432,Desconocida
1433,Desconocida
1434,Desconocida
1435,Desconocida
1436,Desconocida
1437,Desconocida
1438,Desconocida
1439,Desconocida
1440,Desconocida
1441,Desconocida
1442,Desconocida
1443,Desconocida
1444,Desconocida
1445,Desconocida
1446,Desconocida
1447,Desconocida
1448,Desconocida
1449,Desconocida
1450,Desconocida
1451,Desconocida
1452,Desconocida
1453,Desconocida
1454,Desconocida
1455,Desconocida
1456,Desconocida
1457,Desconocida
1458,Desconocida
1459,Desconocida
1460,Desconocida
1461,Desconocida
1462,Desconocida
1463,Desconocida
1464,Desconocida
1465,Desconocida
1466,Desconocida
1467,Desconocida
1468,Desconocida
1469,Desconocida
1470,Desconocida
1471,Desconocida
1472,Desconocida
1473,Desconocida
1474,Desconocida
1475,Desconocida
1476,Desconocida
1477,Desconocida
1478,Desconocida
1479,Desconocida
1480,Desconocida
1481,Desconocida
1482,Desconocida
1483,Desconocida
1484,Desconocida
1485,Desconocida
1486,Desconocida
1487,Desconocida
1488,Desconocida
1489,Desconocida
1490,Desconocida
1491,Desconocida
1492,Desconocida
1493,Desconocida
1494,Desconocida
1495,Desconocida
1496,Desconocida
1497,Desconocida
1498,Desconocida
1499,Desconocida
1500,Desconocida
1501,Desconocida
1502,Desconocida
1503,Desconocida
1504,Desconocida
1505,Desconocida
1506,Desconocida
1507,Desconocida
1508,Desconocida
1509,Desconocida
1510,Desconocida
1511,Desconocida
1512,Desconocida
1513,Desconocida
1514,Desconocida
1515,Desconocida
1516,Desconocida
1517,Desconocida
1518,Desconocida
1519,Desconocida
1520,Desconocida
1521,Desconocida
1522,Desconocida
1523,Desconocida
1524,Desconocida
1525,Desconocida
1526,Desconocida
1527,Desconocida
1528,Desconocida
1529,Desconocida
1530,Desconocida
1531,Desconocida
1532,Desconocida
1533,Desconocida
1534,Desconocida
1535,Desconocida
1536,Desconocida
1537,Desconocida
1538,Desconocida
1539,Desconocida
1540,Desconocida
1541,Desconocida
1542,Desconocida
1543,Desconocida
1544,Desconocida
1545,Desconocida
1546,Desconocida
1547,Desconocida
1548,Desconocida
1549,Desconocida
1550,Desconocida
1551,Desconocida
1552,Desconocida
1553,Desconocida
1554,Desconocida
1555,Desconocida
1556,Desconocida
1557,Desconocida
1558,Desconocida
1559,Desconocida
1560,Desconocida
1561,Desconocida
1562,Desconocida
1563,Desconocida
1564,Desconocida
1565,Desconocida
1566,Desconocida
1567,Desconocida
1568,Desconocida
1569,Desconocida
1570,Desconocida
1571,Desconocida
1572,Desconocida
1573,Desconocida
1574,Desconocida
